,0,1
228,pokemon128,pokemon127
229,pokemon77,pokemon239
230,pokemon31,pokemon242
231,pokemon227,pokemon239
232,pokemon221,pokemon255
233,pokemon331,pokemon126
234,pokemon124,pokemon315
235,pokemon329,pokemon238
236,pokemon121,pokemon287
237,pokemon231,pokemon50
238,pokemon104,pokemon32
239,pokemon26,pokemon183
240,pokemon354,pokemon212
241,pokemon208,pokemon33
242,pokemon83,pokemon278
243,pokemon314,pokemon292
244,pokemon313,pokemon279
245,pokemon222,pokemon36
246,pokemon13,pokemon335
247,pokemon92,pokemon333
248,pokemon106,pokemon233
249,pokemon314,pokemon92
250,pokemon59,pokemon111
251,pokemon243,pokemon180
252,pokemon122,pokemon159
253,pokemon271,pokemon156
254,pokemon303,pokemon14
255,pokemon71,pokemon292
256,pokemon128,pokemon290
257,pokemon365,pokemon232
258,pokemon11,pokemon51
259,pokemon311,pokemon19
260,pokemon207,pokemon240
261,pokemon132,pokemon10
262,pokemon15,pokemon322
263,pokemon1,pokemon74
264,pokemon152,pokemon175
265,pokemon189,pokemon238
266,pokemon347,pokemon199
267,pokemon196,pokemon321
268,pokemon27,pokemon17
269,pokemon365,pokemon321
270,pokemon354,pokemon16
271,pokemon39,pokemon330
272,pokemon84,pokemon10
273,pokemon295,pokemon344
274,pokemon68,pokemon38
275,pokemon309,pokemon318
276,pokemon223,pokemon205
277,pokemon162,pokemon352
278,pokemon1,pokemon108
279,pokemon11,pokemon50
280,pokemon32,pokemon253
281,pokemon290,pokemon42
282,pokemon341,pokemon172
283,pokemon104,pokemon126
284,pokemon128,pokemon157
285,pokemon35,pokemon137
286,pokemon278,pokemon37
287,pokemon157,pokemon151
288,pokemon171,pokemon134
289,pokemon310,pokemon342
290,pokemon111,pokemon176
291,pokemon176,pokemon163
292,pokemon259,pokemon118
293,pokemon348,pokemon200
294,pokemon256,pokemon159
295,pokemon88,pokemon332
296,pokemon252,pokemon276
297,pokemon17,pokemon84
298,pokemon106,pokemon294
299,pokemon182,pokemon126
300,pokemon53,pokemon108
301,pokemon175,pokemon122
302,pokemon215,pokemon135
303,pokemon122,pokemon75
304,pokemon127,pokemon275
305,pokemon268,pokemon248
306,pokemon198,pokemon87
307,pokemon7,pokemon320
308,pokemon173,pokemon183
309,pokemon15,pokemon236
310,pokemon226,pokemon144
311,pokemon363,pokemon273
312,pokemon253,pokemon72
313,pokemon345,pokemon243
314,pokemon349,pokemon257
315,pokemon219,pokemon160
316,pokemon34,pokemon45
317,pokemon172,pokemon25
318,pokemon279,pokemon324
319,pokemon199,pokemon366
320,pokemon9,pokemon176
321,pokemon100,pokemon100
322,pokemon139,pokemon360
323,pokemon81,pokemon26
324,pokemon5,pokemon101
325,pokemon306,pokemon112
326,pokemon289,pokemon83
327,pokemon353,pokemon172
328,pokemon57,pokemon57
329,pokemon291,pokemon23
330,pokemon300,pokemon18
331,pokemon245,pokemon159
332,pokemon126,pokemon90
333,pokemon31,pokemon189
334,pokemon80,pokemon216
335,pokemon363,pokemon231
336,pokemon111,pokemon191
337,pokemon218,pokemon125
338,pokemon306,pokemon358
339,pokemon234,pokemon52
340,pokemon322,pokemon341
341,pokemon261,pokemon222
342,pokemon232,pokemon148
343,pokemon26,pokemon306
344,pokemon232,pokemon223
345,pokemon303,pokemon48
346,pokemon125,pokemon293
347,pokemon345,pokemon61
348,pokemon235,pokemon4
349,pokemon328,pokemon145
350,pokemon115,pokemon300
351,pokemon82,pokemon191
352,pokemon32,pokemon169
353,pokemon237,pokemon174
354,pokemon216,pokemon199
355,pokemon118,pokemon242
356,pokemon264,pokemon198
357,pokemon315,pokemon212
358,pokemon262,pokemon57
359,pokemon65,pokemon117
360,pokemon268,pokemon199
361,pokemon55,pokemon162
362,pokemon138,pokemon306
363,pokemon354,pokemon48
364,pokemon242,pokemon142
365,pokemon14,pokemon273
366,pokemon299,pokemon201
367,pokemon286,pokemon190
368,pokemon146,pokemon37
369,pokemon44,pokemon21
370,pokemon151,pokemon22
371,pokemon80,pokemon334
372,pokemon338,pokemon149
373,pokemon332,pokemon145
374,pokemon44,pokemon256
375,pokemon309,pokemon168
376,pokemon126,pokemon2
377,pokemon35,pokemon20
378,pokemon61,pokemon10
379,pokemon260,pokemon200
380,pokemon177,pokemon262
381,pokemon144,pokemon58
382,pokemon264,pokemon134
383,pokemon63,pokemon230
384,pokemon218,pokemon93
385,pokemon104,pokemon224
386,pokemon364,pokemon52
387,pokemon313,pokemon302
388,pokemon363,pokemon97
389,pokemon87,pokemon294
390,pokemon96,pokemon247
391,pokemon293,pokemon139
392,pokemon65,pokemon63
393,pokemon281,pokemon75
394,pokemon150,pokemon233
395,pokemon23,pokemon287
396,pokemon240,pokemon254
397,pokemon193,pokemon17
398,pokemon92,pokemon295
399,pokemon36,pokemon291
400,pokemon288,pokemon292
401,pokemon103,pokemon239
402,pokemon248,pokemon259
403,pokemon101,pokemon170
404,pokemon287,pokemon224
405,pokemon136,pokemon244
406,pokemon32,pokemon34
407,pokemon35,pokemon145
408,pokemon150,pokemon8
409,pokemon101,pokemon312
410,pokemon195,pokemon193
411,pokemon78,pokemon354
412,pokemon77,pokemon265
413,pokemon152,pokemon356
414,pokemon325,pokemon52
415,pokemon190,pokemon8
416,pokemon46,pokemon111
417,pokemon153,pokemon247
418,pokemon282,pokemon90
419,pokemon230,pokemon336
420,pokemon306,pokemon216
421,pokemon256,pokemon355
422,pokemon262,pokemon80
423,pokemon4,pokemon290
424,pokemon78,pokemon305
425,pokemon176,pokemon229
426,pokemon298,pokemon191
427,pokemon49,pokemon213
428,pokemon175,pokemon193
429,pokemon271,pokemon21
430,pokemon71,pokemon194
431,pokemon227,pokemon300
432,pokemon288,pokemon183
433,pokemon95,pokemon125
434,pokemon88,pokemon240
435,pokemon351,pokemon134
436,pokemon115,pokemon276
437,pokemon160,pokemon333
438,pokemon38,pokemon153
439,pokemon343,pokemon94
440,pokemon192,pokemon345
441,pokemon357,pokemon290
442,pokemon23,pokemon221
443,pokemon146,pokemon297
444,pokemon37,pokemon251
445,pokemon12,pokemon126
446,pokemon2,pokemon248
447,pokemon156,pokemon202
448,pokemon6,pokemon246
449,pokemon238,pokemon300
450,pokemon168,pokemon308
451,pokemon92,pokemon160
452,pokemon162,pokemon3
453,pokemon350,pokemon279
454,pokemon73,pokemon22
455,pokemon278,pokemon42
456,pokemon285,pokemon264
457,pokemon136,pokemon195
458,pokemon263,pokemon180
459,pokemon67,pokemon166
460,pokemon249,pokemon81
461,pokemon256,pokemon358
462,pokemon177,pokemon55
463,pokemon114,pokemon56
464,pokemon363,pokemon65
465,pokemon343,pokemon111
466,pokemon261,pokemon341
467,pokemon260,pokemon324
468,pokemon43,pokemon132
469,pokemon134,pokemon264
470,pokemon115,pokemon16
471,pokemon269,pokemon196
472,pokemon3,pokemon239
473,pokemon111,pokemon236
474,pokemon194,pokemon189
475,pokemon342,pokemon78
476,pokemon32,pokemon103
477,pokemon323,pokemon29
478,pokemon225,pokemon245
479,pokemon285,pokemon228
480,pokemon122,pokemon365
481,pokemon105,pokemon107
482,pokemon31,pokemon261
483,pokemon45,pokemon249
484,pokemon264,pokemon126
485,pokemon228,pokemon37
486,pokemon253,pokemon320
487,pokemon47,pokemon5
488,pokemon261,pokemon294
489,pokemon8,pokemon276
490,pokemon294,pokemon301
491,pokemon249,pokemon204
492,pokemon306,pokemon218
493,pokemon49,pokemon265
494,pokemon139,pokemon18
495,pokemon342,pokemon331
496,pokemon311,pokemon352
497,pokemon225,pokemon100
498,pokemon341,pokemon340
499,pokemon285,pokemon114
500,pokemon313,pokemon321
501,pokemon130,pokemon315
502,pokemon200,pokemon21
503,pokemon44,pokemon220
504,pokemon43,pokemon244
505,pokemon234,pokemon64
506,pokemon66,pokemon27
507,pokemon64,pokemon295
508,pokemon251,pokemon329
509,pokemon354,pokemon364
510,pokemon218,pokemon197
511,pokemon50,pokemon103
512,pokemon246,pokemon297
513,pokemon178,pokemon133
